Annotation_type	ID	Description	Function	Function_type
IPR	IPR004835	Chitin synthase	Cell wall biosynthesis 	Fungal multicellularity
IPR	IPR018466	"Yeast cell wall synthesis Kre9/Knh1-like, N-terminal"	Cell wall biosynthesis 	Fungal multicellularity
CAZy	GH18	chitinases	Cell wall remodeling	Fungal multicellularity
CAZy	GH20	glucosaminidase	Cell wall remodeling	Fungal multicellularity
CAZy	 CE4	Chitooligosaccharide deacetylase	Cell wall remodeling	Fungal multicellularity
IPR	IPR003610	Carbohydrate-binding module family 5/12	Cell wall remodeling	Fungal multicellularity
IPR	IPR036779	LysM domain superfamily	Cell wall remodeling	Fungal multicellularity
CAZy	AA9	Lytic polysaccharide monooxygenase	Cell wall remodeling	Fungal multicellularity
CAZy	AA14	Lytic xylan monooxygenase 	Cell wall remodeling	Fungal multicellularity
IPR	IPR041960	Geranylgeranyl transferase type-1 subunit beta	Cell wall remodeling	Fungal multicellularity
CAZy	GH17	"beta-1,3-glucanase, beta-1,3-glucosidase"	Cell wall remodeling	Fungal multicellularity
CAZy	GH16	"act on beta-1,4 or beta-1,3 glycosidic bonds in glucans and galactans"	Cell wall remodeling	Fungal multicellularity
CAZy	GH30	"beta-xylanase, beta-gluconase"	Cell wall remodeling	Fungal multicellularity
CAZy	GH5_7	"Endo-beta-1,4-mannanase "	Cell wall remodeling	Fungal multicellularity
CAZy	 GH5_15	"Endo-beta-1,6-glucanase "	Cell wall remodeling	Fungal multicellularity
CAZy	 GH5_49	"Endo-beta-1,6-glucanase, exo-beta-1,3-glucanase "	Cell wall remodeling	Fungal multicellularity
CAZy	 GH5_9 	"Endo-beta-1,6-glucanase, exo-beta-1,3-glucanase "	Cell wall remodeling	Fungal multicellularity
CAZy	GH55	"beta-1,3-glucanase"	Cell wall remodeling	Fungal multicellularity
CAZy	 GH128 	"beta-1,3-glucanase "	Cell wall remodeling	Fungal multicellularity
CAZy	GH71	"Endo-_-1,3-glucanase "	Cell wall remodeling	Fungal multicellularity
IPR	IPR037176	Osmotin/thaumatin-like superfamily	Cell wall remodeling	Fungal multicellularity
IPR	IPR002889	Carbohydrate-binding WSC	Cell wall remodeling	Fungal multicellularity
CAZy	AA1_1	Laccase	Cell wall remodeling	Fungal multicellularity
IPR	IPR007117	"Expansin, cellulose-binding-like domain"	Cell wall remodeling	Fungal multicellularity
IPR	IPR000028	Chloroperoxidase	Cell wall misc	Fungal multicellularity
IPR	IPR006314	Dyp-type peroxidase	Cell wall misc	Fungal multicellularity
CAZy	AA5_1	Glyoxal oxidase	Cell wall misc	Fungal multicellularity
CAZy	AA3_1	cellobiose dehydrogenase	Cell wall misc	Fungal multicellularity
IPR	IPR019778	Hydrophobin; conserved site	Cell surface and cell wall proteins	Fungal multicellularity
IPR	IPR000772	"Ricin B, lectin domain"	Cell surface and cell wall proteins	Fungal multicellularity
IPR	IPR018824	Conidiation-specific protein 6	Cell surface and cell wall proteins	Fungal multicellularity
IPR	IPR032805	Wax synthase domain	Cell surface and cell wall proteins	Fungal multicellularity
IPR	IPR001461	Aspartic peptidase A1 family	Cell surface and cell wall proteins	Fungal multicellularity
IPR	IPR004025	Fungal ribotoxin	Defense	Fungal multicellularity
IPR	IPR015131	"Killer toxin, Kp4"	Defense	Fungal multicellularity
IPR	IPR001542	"Defensin, invertebrate/fungal"	Defense	Fungal multicellularity
IPR	IPR025331	Tuberculosis necrotizing toxin	Defense	Fungal multicellularity
IPR	IPR021765	Mycotoxin biosynthesis protein UstYa-like	Defense	Fungal multicellularity
IPR	IPR016191	Ribonuclease/ribotoxin	Defense	Fungal multicellularity
IPR	IPR016491	Septin	Cytoskeleton	Fungal multicellularity
IPR	IPR030379	Septin-type guanine nucleotide-binding (G) domain	Cytoskeleton	Fungal multicellularity
IPR	IPR000217	Tubulin	Cytoskeleton	Fungal multicellularity
IPR	IPR017907	Zinc finger; RING-type; conserved site	Protein ubiquitination	Fungal multicellularity
IPR	IPR001810	F-box domain	Protein ubiquitination	Fungal multicellularity
IPR	IPR000210	BTB/POZ domain	Protein ubiquitination	Fungal multicellularity
IPR	IPR023271	Aquaporin-like	Transporters	Fungal multicellularity
IPR	IPR036259	MFS transporter superfamily	Transporters	Fungal multicellularity
IPR	IPR019479	"Peroxiredoxin, C-terminal"	Stress response genes	Fungal multicellularity
IPR	IPR007173	"D-arabinono-1,4-lactone oxidase, C-terminal domain"	Stress response genes	Fungal multicellularity
IPR	IPR011614	Catalase core domain	Stress response genes	Fungal multicellularity
IPR	IPR004584	"DNA repair protein Rad50, eukaryotes"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR024193	Ku80	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR047087	"Ku70, core domain"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR003701	DNA double-strand break repair protein Mre11	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR013765	DNA recombination and repair protein RecA	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR012923	Chromosome segregation in meiosis protein 3	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR013967	"Rad54, N-terminal"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR042525	DNA repair protein Rad52/59/22 superfamily	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR006642	"Rad18, zinc finger UBZ4-type"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR014017	"UvrD-like DNA helicase, C-terminal"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR001564	Nucleoside diphosphate kinase	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR023426	Flap endonuclease 1	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR004584	"DNA repair protein Rad50, eukaryotes"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR013632	"DNA recombination and repair protein Rad51-like, C-terminal"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR003701	DNA double-strand break repair protein Mre11	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR012337	Ribonuclease H-like superfamily	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR011184	DNA mismatch repair Msh2-type	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR004808	AP endonuclease 1	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR036420	BRCT domain superfamily	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR007268	Rad9/Ddc1	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR011084	DNA repair metallo-beta-lactamase	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR041297	"DNA repair protein Crb2, Tudor domain"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR013218	Kinetochore-associated protein Dsn1/Mis13	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR004601	UV-endonuclease UvdE	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR016314	Cell division protein Cdc6/18	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR007150	Checkpoint protein Hus1/Mec3	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR022043	Chromatin assembly factor 1 subunit A	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR001752	Kinesin motor domain	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR014017	"UvrD-like DNA helicase, C-terminal"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR020796	"Origin recognition complex, subunit 5"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR006551	Polynucleotide 3'-phosphatase	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR007199	"Replication factor-A protein 1, N-terminal"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR013627	"DNA polymerase alpha, subunit B, N-terminal"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR001650	"Helicase, C-terminal"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR015661	Mitotic spindle checkpoint protein Bub1/Mad3	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR002043	Uracil-DNA glycosylase family 1	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR013218	Kinetochore-associated protein Dsn1/Mis13	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR007220	"Origin recognition complex, subunit 2"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR024991	"Anaphase-promoting complex subunit 11, RING-H2 finger"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR024704	Structural maintenance of chromosomes protein	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR016558	"DNA primase, large subunit, eukaryotic"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR032682	"Condensin complex subunit 1, C-terminal"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR034157	"DNA topoisomerase 2, TOPRIM domain"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR006134	"DNA-directed DNA polymerase, family B, multifunctional domain"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR039361	Cyclin	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR001752	Kinesin motor domain	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR000953	Chromo/chromo shadow domain	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR013962	DASH complex subunit Dam1	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR021110	DNA replication/checkpoint protein	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR022214	Mitotic-spindle organizing protein 1	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR024790	"Anaphase-promoting complex subunit 4, long domain"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR000571	"Zinc finger, CCCH-type"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR006910	"Rad21/Rec8-like protein, N-terminal"	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR001214	SET domain	"Cell division, proliferation and growth"	Fungal multicellularity
IPR	IPR002674	Ribosomal protein L37ae	Ribosomal genes	Fungal multicellularity
IPR	IPR001210	Ribosomal protein S17e	Ribosomal genes	Fungal multicellularity
IPR	IPR000206	Ribosomal protein L7/L12	Ribosomal genes	Fungal multicellularity
IPR	IPR016340	Ribosomal protein L31	Ribosomal genes	Fungal multicellularity
IPR	IPR001380	Ribosomal protein L13e	Ribosomal genes	Fungal multicellularity
IPR	IPR001971	Ribosomal protein S11	Ribosomal genes	Fungal multicellularity
IPR	IPR005998	"Ribosomal protein L7, eukaryotic"	Ribosomal genes	Fungal multicellularity
IPR	IPR000754	Ribosomal protein S9	Ribosomal genes	Fungal multicellularity
IPR	IPR000589	Ribosomal protein S15	Ribosomal genes	Fungal multicellularity
IPR	IPR001141	Ribosomal protein L27e	Ribosomal genes	Fungal multicellularity
IPR	IPR000911	Ribosomal protein L27e	Ribosomal genes	Fungal multicellularity
IPR	IPR000597	Ribosomal protein L3	Ribosomal genes	Fungal multicellularity
IPR	IPR005680	"Ribosomal protein S23, eukaryotic/archaeal"	Ribosomal genes	Fungal multicellularity
IPR	IPR001780	Ribosomal protein L35A	Ribosomal genes	Fungal multicellularity
IPR	IPR001593	Ribosomal protein S3Ae	Ribosomal genes	Fungal multicellularity
IPR	IPR000077	Ribosomal protein L39e	Ribosomal genes	Fungal multicellularity
IPR	IPR022803	Ribosomal protein L5 domain superfamily	Ribosomal genes	Fungal multicellularity
IPR	IPR027534	Ribosomal protein L12/P1/P2 family	Ribosomal genes	Fungal multicellularity
IPR	IPR002222	Ribosomal protein S19/S15	Ribosomal genes	Fungal multicellularity
IPR	IPR001383	Ribosomal protein L28	Ribosomal genes	Fungal multicellularity
IPR	IPR005633	"Ribosomal protein L23/L25, N-terminal"	Ribosomal genes	Fungal multicellularity
